time,away_description,away_change,score,home_change,home_description
11:47.0, , ,0-0, ,L. Aldridge misses 2-pt jump shot from 16 ft
11:46.0, , ,0-0, ,Offensive rebound by L. Aldridge
11:42.0, , ,0-0, ,Turnover by L. Aldridge (bad pass)
11:26.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by C. Anthony),+3,3-0, , 
11:12.0, , ,3-0, ,K. Leonard misses 3-pt jump shot from 24 ft
11:11.0,Defensive rebound by A. Afflalo, ,3-0, , 
10:59.0,K. Porziņģis misses 2-pt layup from 2 ft, ,3-0, , 
10:58.0, , ,3-0, ,Defensive rebound by T. Duncan
10:49.0, , ,3-0, ,Turnover by D. Green (bad pass)
10:36.0,J. Calderón misses 2-pt jump shot from 14 ft, ,3-0, , 
10:35.0, , ,3-0, ,Defensive rebound by T. Duncan
10:26.0, , ,3-0, ,T. Duncan misses 2-pt jump shot from 18 ft
10:25.0,Defensive rebound by K. Porziņģis, ,3-0, , 
10:14.0,K. Porziņģis misses 2-pt jump shot from 18 ft, ,3-0, , 
10:13.0, , ,3-0, ,Defensive rebound by K. Leonard
10:04.0, , ,3-2,+2,K. Leonard makes 2-pt jump shot from 10 ft
9:57.0,C. Anthony misses 2-pt layup from 2 ft (block by K. Leonard), ,3-2, , 
9:57.0,Offensive rebound by Team, ,3-2, , 
9:52.0,K. Porziņģis misses 3-pt jump shot from 24 ft, ,3-2, , 
9:51.0, , ,3-2, ,Defensive rebound by K. Leonard
9:37.0, , ,3-4,+2,T. Parker makes 2-pt layup from 1 ft
9:17.0,Shooting foul by T. Duncan (drawn by C. Anthony), ,3-4, , 
9:17.0,C. Anthony makes free throw 1 of 2,+1,4-4, , 
9:17.0,C. Anthony misses free throw 2 of 2, ,4-4, , 
9:16.0, , ,4-4, ,Defensive rebound by K. Leonard
8:56.0, , ,4-4, ,T. Parker misses 2-pt layup from 2 ft
8:55.0, , ,4-4, ,Offensive rebound by T. Duncan
8:55.0, , ,4-6,+2,T. Duncan makes 2-pt layup from 1 ft
8:38.0,K. Porziņģis makes 2-pt jump shot from 10 ft,+2,6-6, , 
8:25.0, , ,6-6, ,T. Parker misses 2-pt jump shot from 19 ft
8:25.0,Defensive rebound by K. Porziņģis, ,6-6, , 
8:10.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by J. Calderón),+2,8-6, , 
8:02.0, , ,8-6, ,Turnover by T. Duncan (bad pass; steal by K. Porziņģis)
8:01.0,Turnover by K. Porziņģis (bad pass), ,8-6, , 
7:58.0, , ,8-6, ,D. Green misses 2-pt jump shot from 16 ft
7:57.0, , ,8-6, ,Offensive rebound by L. Aldridge
7:45.0, , ,8-6, ,L. Aldridge misses 2-pt jump shot from 3 ft
7:44.0,Defensive rebound by C. Anthony, ,8-6, , 
7:38.0,Shooting foul by D. Green (drawn by K. Porziņģis), ,8-6, , 
7:38.0,K. Porziņģis makes free throw 1 of 2,+1,9-6, , 
7:38.0, , ,9-6, ,M. Ginóbili enters the game for D. Green
7:38.0,K. Porziņģis misses free throw 2 of 2, ,9-6, , 
7:37.0, , ,9-6, ,Defensive rebound by M. Ginóbili
7:15.0, , ,9-6, ,T. Parker misses 3-pt jump shot from 23 ft
7:14.0, , ,9-6, ,Offensive rebound by K. Leonard
7:14.0, , ,9-8,+2,K. Leonard makes 2-pt layup at rim
6:59.0,J. Calderón makes 2-pt jump shot from 16 ft (assist by R. Lopez),+2,11-8, , 
6:43.0, , ,11-8, ,M. Ginóbili misses 2-pt jump shot from 6 ft
6:42.0,Defensive rebound by R. Lopez, ,11-8, , 
6:37.0,Shooting foul by M. Ginóbili (drawn by C. Anthony), ,11-8, , 
6:37.0,C. Anthony makes free throw 1 of 2,+1,12-8, , 
6:37.0, , ,12-8, ,San Antonio full timeout
6:37.0,C. Anthony makes free throw 2 of 2,+1,13-8, , 
6:27.0, , ,13-8, ,Shooting foul by J. Calderón (drawn by T. Parker)
6:27.0, , ,13-9,+1,T. Parker makes free throw 1 of 2
6:27.0, , ,13-10,+1,T. Parker makes free throw 2 of 2
6:13.0,A. Afflalo misses 2-pt jump shot from 19 ft, ,13-10, , 
6:12.0, , ,13-10, ,Defensive rebound by K. Leonard
6:05.0, , ,13-13,+3,M. Ginóbili makes 3-pt jump shot from 23 ft (assist by T. Parker)
5:42.0,K. Porziņģis misses 3-pt jump shot from 23 ft, ,13-13, , 
5:41.0, , ,13-13, ,Defensive rebound by T. Parker
5:28.0, , ,13-15,+2,K. Leonard makes 2-pt layup from 2 ft
5:09.0,R. Lopez misses 2-pt hook shot from 6 ft, ,13-15, , 
