time,away_description,away_change,score,home_change,home_description
11:42.0,Personal foul by C. Joseph (drawn by P. Millsap), ,0-0, , 
11:29.0,N. Jokić misses 2-pt hook shot from 4 ft, ,0-0, , 
11:28.0, , ,0-0, ,Defensive rebound by Team
11:28.0,Loose ball foul by P. Millsap (drawn by T. Young), ,0-0, , 
11:16.0, , ,0-0, ,Turnover by M. Turner (traveling)
11:08.0,Turnover by W. Barton (bad pass; steal by M. Turner), ,0-0, , 
10:58.0, , ,0-0, ,M. Turner misses 2-pt jump shot from 17 ft
10:54.0,Defensive rebound by N. Jokić, ,0-0, , 
10:36.0,Turnover by J. Murray (bad pass; steal by C. Joseph), ,0-0, , 
10:31.0, , ,0-2,+2,B. Bogdanović makes 2-pt layup at rim (assist by C. Joseph)
10:16.0,N. Jokić misses 2-pt jump shot from 8 ft, ,0-2, , 
10:13.0, , ,0-2, ,Defensive rebound by M. Turner
9:59.0, , ,0-4,+2,M. Turner makes 2-pt jump shot from 20 ft (assist by B. Bogdanović)
9:40.0,J. Murray misses 2-pt jump shot from 12 ft, ,0-4, , 
9:36.0,Offensive rebound by J. Murray, ,0-4, , 
9:35.0,W. Barton makes 2-pt jump shot from 8 ft (assist by J. Murray),+2,2-4, , 
9:09.0, , ,2-7,+3,B. Bogdanović makes 3-pt jump shot from 27 ft
8:57.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),+2,4-7, , 
8:44.0, , ,4-9,+2,M. Turner makes 2-pt jump shot from 16 ft (assist by C. Joseph)
8:25.0,W. Barton makes 2-pt jump shot from 12 ft (assist by G. Harris),+2,6-9, , 
8:11.0, , ,6-9, ,Personal foul by W. Barton (drawn by B. Bogdanović)
7:54.0, , ,6-9, ,W. Matthews misses 3-pt jump shot from 29 ft
7:52.0, , ,6-9, ,Offensive rebound by M. Turner
7:52.0, , ,6-9, ,M. Turner misses 2-pt dunk from 1 ft (block by N. Jokić)
7:50.0,Defensive rebound by J. Murray, ,6-9, , 
7:47.0,P. Millsap makes 3-pt jump shot from 28 ft (assist by J. Murray),+3,9-9, , 
7:34.0, , ,9-11,+2,M. Turner makes 2-pt jump shot from 14 ft (assist by B. Bogdanović)
7:16.0,P. Millsap misses 2-pt jump shot from 10 ft, ,9-11, , 
7:15.0,Offensive rebound by Team, ,9-11, , 
7:13.0,J. Murray makes 2-pt jump shot from 16 ft (assist by N. Jokić),+2,11-11, , 
6:56.0, , ,11-11, ,Turnover by T. Young (out of bounds lost ball)
6:56.0, , ,11-11, ,Indiana full timeout
6:47.0,W. Barton misses 2-pt layup from 1 ft, ,11-11, , 
6:45.0,Offensive rebound by N. Jokić, ,11-11, , 
6:45.0,N. Jokić makes 2-pt layup at rim,+2,13-11, , 
6:29.0, , ,13-13,+2,T. Young makes 2-pt layup from 1 ft
6:10.0,Turnover by J. Murray (lost ball; steal by B. Bogdanović), ,13-13, , 
6:07.0, , ,13-15,+2,B. Bogdanović makes 2-pt dunk at rim
5:48.0,P. Millsap misses 2-pt layup from 7 ft, ,13-15, , 
5:46.0, , ,13-15, ,Defensive rebound by B. Bogdanović
5:40.0, , ,13-15, ,Turnover by T. Young (lost ball; steal by P. Millsap)
5:35.0,G. Harris makes 2-pt layup from 1 ft,+2,15-15, , 
5:16.0, , ,15-15, ,M. Turner misses 3-pt jump shot from 24 ft
5:13.0,Defensive rebound by W. Barton, ,15-15, , 
5:04.0,W. Barton misses 2-pt jump shot from 7 ft, ,15-15, , 
5:01.0, , ,15-15, ,Defensive rebound by T. Young
4:52.0, , ,15-17,+2,M. Turner makes 2-pt layup from 2 ft (assist by W. Matthews)
4:26.0,N. Jokić makes 2-pt layup at rim (assist by J. Murray),+2,17-17, , 
4:12.0, , ,17-17, ,W. Matthews misses 2-pt layup from 3 ft
4:11.0,Defensive rebound by N. Jokić, ,17-17, , 
