time,away_description,away_change,score,home_change,home_description
11:42.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Bullock),+2,2-0, , 
11:17.0, , ,2-0, ,R. Jackson misses 2-pt jump shot from 15 ft
11:14.0, , ,2-0, ,Offensive rebound by A. Drummond
11:13.0, , ,2-0, ,A. Drummond misses 2-pt layup from 1 ft
11:11.0,Defensive rebound by J. McGee, ,2-0, , 
11:01.0,K. Kuzma misses 2-pt jump shot from 19 ft, ,2-0, , 
10:57.0, , ,2-0, ,Defensive rebound by R. Jackson
10:50.0, , ,2-3,+3,B. Griffin makes 3-pt jump shot from 23 ft
10:37.0,R. Bullock makes 2-pt layup from 1 ft (assist by R. Rondo),+2,4-3, , 
10:23.0, , ,4-3, ,Personal foul by R. Bullock (drawn by W. Ellington)
10:17.0, , ,4-3, ,A. Drummond misses 2-pt layup from 2 ft
10:15.0,Defensive rebound by M. Muscala, ,4-3, , 
10:10.0,R. Rondo misses 2-pt hook shot from 7 ft, ,4-3, , 
10:08.0, , ,4-3, ,Defensive rebound by A. Drummond
9:59.0, , ,4-3, ,R. Jackson misses 3-pt jump shot from 26 ft
9:58.0, , ,4-3, ,Offensive rebound by Team
9:49.0, , ,4-3, ,Shooting foul by M. Muscala (drawn by A. Drummond)
9:49.0, , ,4-3, ,A. Drummond misses free throw 1 of 2
9:49.0, , ,4-3, ,Offensive rebound by Team
9:49.0, , ,4-4,+1,A. Drummond makes free throw 2 of 2
9:33.0,J. McGee makes 2-pt dunk from 3 ft (assist by R. Rondo),+2,6-4, , 
9:14.0, , ,6-4, ,W. Ellington misses 3-pt jump shot from 27 ft
9:12.0,Defensive rebound by R. Rondo, ,6-4, , 
9:07.0,R. Rondo misses 2-pt layup from 1 ft, ,6-4, , 
9:07.0, , ,6-4, ,Defensive rebound by Team
9:07.0,Loose ball foul by J. McGee (drawn by A. Drummond), ,6-4, , 
8:54.0, , ,6-4, ,B. Griffin misses 2-pt layup from 3 ft
8:49.0,Defensive rebound by M. Muscala, ,6-4, , 
8:45.0,Turnover by R. Rondo (bad pass; steal by B. Brown), ,6-4, , 
8:40.0, , ,6-6,+2,B. Brown makes 2-pt layup from 1 ft (assist by B. Griffin)
8:22.0,M. Muscala makes 2-pt hook shot from 3 ft (assist by R. Bullock),+2,8-6, , 
8:03.0, , ,8-6, ,B. Griffin misses 2-pt layup from 3 ft
8:01.0,Defensive rebound by J. McGee, ,8-6, , 
8:00.0,Turnover by R. Bullock (bad pass; steal by W. Ellington), ,8-6, , 
7:53.0, , ,8-9,+3,B. Griffin makes 3-pt jump shot from 23 ft (assist by W. Ellington)
7:34.0,K. Kuzma makes 2-pt layup from 3 ft,+2,10-9, , 
7:23.0, , ,10-9, ,B. Griffin misses 3-pt jump shot from 26 ft
7:20.0,Defensive rebound by R. Rondo, ,10-9, , 
7:17.0,K. Kuzma misses 3-pt jump shot from 26 ft, ,10-9, , 
7:14.0, , ,10-9, ,Defensive rebound by A. Drummond
7:01.0, , ,10-11,+2,A. Drummond makes 2-pt dunk from 2 ft (assist by B. Griffin)
6:43.0,R. Bullock misses 3-pt jump shot from 26 ft, ,10-11, , 
6:41.0, , ,10-11, ,Defensive rebound by B. Brown
6:37.0, , ,10-11, ,B. Brown misses 2-pt layup from 5 ft (block by J. McGee)
6:33.0,Defensive rebound by R. Bullock, ,10-11, , 
6:31.0,K. Kuzma misses 2-pt layup from 1 ft, ,10-11, , 
6:31.0, , ,10-11, ,Defensive rebound by Team
6:31.0, , ,10-11, ,Detroit full timeout
6:11.0, , ,10-11, ,Turnover by R. Jackson (out of bounds lost ball)
5:50.0,K. Kuzma misses 2-pt jump shot from 12 ft, ,10-11, , 
5:50.0, , ,10-11, ,Defensive rebound by Team
5:35.0, , ,10-11, ,Def 3 sec tech foul by Team
5:35.0, , ,10-12,+1,R. Jackson makes technical free throw
5:32.0, , ,10-12, ,Personal foul by R. Rondo (drawn by B. Griffin)
5:24.0, , ,10-12, ,Personal foul by J. McGee (drawn by B. Griffin)
5:24.0, , ,10-12, ,B. Griffin misses free throw 1 of 2
5:24.0, , ,10-12, ,Offensive rebound by Team
5:24.0,M. Wagner enters the game for J. McGee, ,10-12, , 
5:24.0, , ,10-13,+1,B. Griffin makes free throw 2 of 2
5:12.0,R. Bullock misses 3-pt jump shot from 27 ft, ,10-13, , 
5:10.0, , ,10-13, ,Defensive rebound by A. Drummond
4:58.0, , ,10-13, ,W. Ellington misses 3-pt jump shot from 27 ft
4:56.0,Defensive rebound by R. Bullock, ,10-13, , 
4:53.0,Turnover by R. Bullock (out of bounds lost ball), ,10-13, , 
4:44.0, , ,10-13, ,B. Griffin misses 2-pt layup from 1 ft
4:40.0,Defensive rebound by M. Muscala, ,10-13, , 
4:36.0,M. Wagner misses 3-pt jump shot from 27 ft, ,10-13, , 
4:32.0, , ,10-13, ,Defensive rebound by W. Ellington
4:24.0, , ,10-13, ,R. Jackson misses 2-pt jump shot from 8 ft
4:21.0,Defensive rebound by M. Muscala, ,10-13, , 
4:19.0,Turnover by R. Bullock (out of bounds lost ball), ,10-13, , 
4:19.0,K. Caldwell-Pope enters the game for R. Bullock, ,10-13, , 
4:19.0, , ,10-13, ,L. Kennard enters the game for W. Ellington
4:08.0, , ,10-15,+2,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson)
4:08.0,LA Lakers full timeout, ,10-15, , 
4:08.0,J. Williams enters the game for M. Muscala, ,10-15, , 
4:08.0, , ,10-15, ,L. Galloway enters the game for B. Brown
3:51.0,K. Kuzma makes 2-pt layup from 6 ft (assist by M. Wagner),+2,12-15, , 
3:37.0, , ,12-15, ,Turnover by B. Griffin (back court)
3:23.0,Turnover by M. Wagner (lost ball; steal by R. Jackson), ,12-15, , 
3:19.0, , ,12-17,+2,B. Griffin makes 2-pt layup at rim (assist by R. Jackson)
3:11.0,J. Williams makes 2-pt dunk from 3 ft (assist by R. Rondo),+2,14-17, , 
2:56.0, , ,14-17, ,Turnover by B. Griffin (lost ball; steal by R. Rondo)
2:55.0,Turnover by K. Caldwell-Pope (out of bounds lost ball), ,14-17, , 
2:34.0, , ,14-17, ,R. Jackson misses 3-pt jump shot from 23 ft
2:31.0,Defensive rebound by J. Williams, ,14-17, , 
2:27.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft, ,14-17, , 
2:23.0, , ,14-17, ,Defensive rebound by A. Drummond
2:16.0, , ,14-20,+3,R. Jackson makes 3-pt jump shot from 28 ft (assist by B. Griffin)
1:58.0,J. Williams misses 2-pt dunk from 1 ft (block by A. Drummond), ,14-20, , 
1:55.0, , ,14-20, ,Defensive rebound by L. Galloway
1:52.0, , ,14-20, ,R. Jackson misses 3-pt jump shot from 27 ft
1:49.0,Defensive rebound by K. Kuzma, ,14-20, , 
1:39.0,Shooting foul by A. Drummond (drawn by M. Wagner), ,14-20, , 
1:39.0,M. Wagner makes free throw 1 of 2,+1,15-20, , 
1:39.0,A. Caruso enters the game for R. Rondo, ,15-20, , 
1:39.0, , ,15-20, ,T. Maker enters the game for B. Griffin
1:39.0, , ,15-20, ,I. Smith enters the game for R. Jackson
1:39.0,M. Wagner makes free throw 2 of 2,+1,16-20, , 
1:20.0, , ,16-20, ,L. Kennard misses 3-pt jump shot from 26 ft
1:18.0,Defensive rebound by M. Wagner, ,16-20, , 
1:11.0,A. Caruso misses 2-pt layup from 2 ft, ,16-20, , 
1:08.0, , ,16-20, ,Defensive rebound by L. Kennard
