time,away_description,away_change,score,home_change,home_description
11:40.0, , ,0-0, ,Turnover by P. Millsap (lost ball; steal by D. Šarić)
11:35.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by J. Okogie),+2,2-0, , 
11:24.0, , ,2-2,+2,W. Barton makes 2-pt jump shot from 6 ft
10:59.0,Turnover by K. Bates-Diop (bad pass; steal by J. Murray), ,2-2, , 
10:55.0, , ,2-2, ,Shooting foul by D. Šarić (drawn by J. Murray)
10:55.0, , ,2-3,+1,J. Murray makes free throw 1 of 2
10:55.0, , ,2-4,+1,J. Murray makes free throw 2 of 2
10:39.0,K. Towns makes 2-pt layup from 2 ft,+2,4-4, , 
10:17.0, , ,4-6,+2,J. Murray makes 2-pt jump shot from 20 ft (assist by N. Jokić)
9:57.0,D. Šarić misses 2-pt jump shot from 21 ft, ,4-6, , 
9:53.0,Offensive rebound by K. Towns, ,4-6, , 
9:48.0,Turnover by K. Towns (bad pass; steal by J. Murray), ,4-6, , 
9:41.0, , ,4-6, ,J. Murray misses 2-pt jump shot from 17 ft
9:39.0,Defensive rebound by K. Towns, ,4-6, , 
9:28.0,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Šarić),+3,7-6, , 
9:13.0, , ,7-6, ,W. Barton misses 2-pt jump shot from 13 ft
9:10.0, , ,7-6, ,Offensive rebound by Team
9:01.0, , ,7-8,+2,P. Millsap makes 2-pt jump shot from 12 ft (assist by N. Jokić)
8:45.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. Jones),+2,9-8, , 
8:31.0, , ,9-10,+2,G. Harris makes 2-pt layup from 3 ft (assist by N. Jokić)
8:20.0,T. Jones misses 3-pt jump shot from 25 ft, ,9-10, , 
8:18.0, , ,9-10, ,Defensive rebound by N. Jokić
8:10.0, , ,9-10, ,Turnover by N. Jokić (bad pass; steal by T. Jones)
8:00.0,D. Šarić misses 2-pt layup from 2 ft, ,9-10, , 
7:57.0, , ,9-10, ,Defensive rebound by N. Jokić
7:54.0, , ,9-10, ,Turnover by G. Harris (lost ball; steal by J. Okogie)
7:51.0,Shooting foul by P. Millsap (drawn by K. Towns), ,9-10, , 
7:51.0,K. Towns makes free throw 1 of 2,+1,10-10, , 
7:51.0,K. Towns makes free throw 2 of 2,+1,11-10, , 
7:37.0, , ,11-10, ,N. Jokić misses 2-pt layup from 5 ft (block by K. Towns)
7:33.0, , ,11-10, ,Offensive rebound by N. Jokić
7:32.0, , ,11-10, ,N. Jokić misses 2-pt layup from 2 ft
7:32.0, , ,11-10, ,Offensive rebound by N. Jokić
7:30.0, , ,11-12,+2,N. Jokić makes 2-pt layup at rim
7:24.0,K. Towns misses 3-pt jump shot from 25 ft, ,11-12, , 
7:21.0, , ,11-12, ,Defensive rebound by J. Murray
7:17.0, , ,11-14,+2,N. Jokić makes 2-pt dunk at rim (assist by W. Barton)
7:16.0,Minnesota full timeout, ,11-14, , 
7:00.0,K. Towns misses 2-pt layup from 5 ft, ,11-14, , 
6:57.0,Offensive rebound by K. Bates-Diop, ,11-14, , 
6:55.0,K. Bates-Diop misses 2-pt jump shot from 9 ft, ,11-14, , 
6:49.0,Offensive rebound by D. Šarić, ,11-14, , 
