time,away_description,away_change,score,home_change,home_description
11:48.0,J. Murray misses 2-pt layup from 2 ft (block by S. Mejri), ,0-0, , 
11:45.0, , ,0-0, ,Defensive rebound by D. Finney-Smith
11:37.0, , ,0-3,+3,J. Brunson makes 3-pt jump shot from 26 ft
11:19.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by W. Barton),+3,3-3, , 
10:54.0, , ,3-3, ,T. Hardaway misses 2-pt jump shot from 19 ft
10:51.0, , ,3-3, ,Offensive rebound by S. Mejri
10:41.0, , ,3-6,+3,T. Hardaway makes 3-pt jump shot from 25 ft
10:29.0,J. Murray misses 2-pt jump shot from 8 ft, ,3-6, , 
10:27.0,Offensive rebound by N. Jokić, ,3-6, , 
10:25.0,N. Jokić misses 2-pt hook shot from 4 ft, ,3-6, , 
10:22.0,Offensive rebound by N. Jokić, ,3-6, , 
10:22.0,N. Jokić makes 2-pt layup at rim,+2,5-6, , 
10:15.0, , ,5-6, ,Personal foul by W. Barton (drawn by T. Hardaway)
10:07.0, , ,5-6, ,J. Brunson misses 2-pt jump shot from 15 ft
10:04.0,Defensive rebound by N. Jokić, ,5-6, , 
9:53.0,M. Beasley misses 3-pt jump shot from 25 ft, ,5-6, , 
9:50.0, , ,5-6, ,Defensive rebound by S. Mejri
9:43.0, , ,5-6, ,T. Hardaway misses 3-pt jump shot from 25 ft
9:41.0,Defensive rebound by N. Jokić, ,5-6, , 
9:37.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),+2,7-6, , 
9:15.0, , ,7-6, ,Turnover by D. Finney-Smith (bad pass)
9:08.0,P. Millsap misses 2-pt layup from 5 ft, ,7-6, , 
9:07.0, , ,7-6, ,Defensive rebound by D. Finney-Smith
9:05.0, , ,7-6, ,Personal foul by J. Murray (drawn by J. Brunson)
8:51.0, , ,7-9,+3,S. Mejri makes 3-pt jump shot from 24 ft (assist by M. Kleber)
8:40.0,Offensive foul by N. Jokić (drawn by M. Kleber), ,7-9, , 
8:40.0,Turnover by N. Jokić (offensive foul), ,7-9, , 
8:27.0, , ,7-11,+2,T. Hardaway makes 2-pt jump shot from 12 ft (assist by J. Brunson)
8:13.0,W. Barton misses 2-pt jump shot from 4 ft, ,7-11, , 
8:13.0,Offensive rebound by Team, ,7-11, , 
8:11.0,M. Beasley misses 2-pt jump shot from 17 ft, ,7-11, , 
8:07.0,Offensive rebound by J. Murray, ,7-11, , 
8:06.0,J. Murray misses 2-pt layup from 1 ft, ,7-11, , 
8:04.0, , ,7-11, ,Defensive rebound by Team
7:55.0, , ,7-13,+2,D. Finney-Smith makes 2-pt layup from 3 ft
7:37.0,Personal foul by M. Kleber (drawn by P. Millsap), ,7-13, , 
7:31.0,J. Murray misses 2-pt jump shot from 13 ft, ,7-13, , 
7:28.0, , ,7-13, ,Defensive rebound by D. Finney-Smith
7:23.0, , ,7-13, ,D. Finney-Smith misses 3-pt jump shot from 26 ft
7:20.0,Defensive rebound by J. Murray, ,7-13, , 
7:15.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by N. Jokić),+3,10-13, , 
6:56.0, , ,10-16,+3,J. Brunson makes 3-pt jump shot from 25 ft (assist by T. Hardaway)
6:36.0,Shooting foul by S. Mejri (drawn by P. Millsap), ,10-16, , 
6:36.0, , ,10-16, ,Dallas full timeout
6:36.0,P. Millsap makes free throw 1 of 2,+1,11-16, , 
6:36.0,P. Millsap makes free throw 2 of 2,+1,12-16, , 
6:19.0, , ,12-16, ,Shooting foul by P. Millsap (drawn by D. Finney-Smith)
6:19.0, , ,12-17,+1,D. Finney-Smith makes free throw 1 of 2
6:19.0, , ,12-17, ,D. Finney-Smith misses free throw 2 of 2
6:16.0,Defensive rebound by P. Millsap, ,12-17, , 
5:56.0,N. Jokić misses 2-pt jump shot from 6 ft, ,12-17, , 
5:53.0,Offensive rebound by Team, ,12-17, , 
5:53.0, , ,12-17, ,D. Harris enters the game for D. Finney-Smith
5:53.0, , ,12-17, ,D. Powell enters the game for S. Mejri
5:34.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by N. Jokić),+3,15-17, , 
5:32.0, , ,15-17, ,Turnover by J. Brunson (traveling)
5:32.0,M. Plumlee enters the game for P. Millsap, ,15-17, , 
5:32.0, , ,15-17, ,D. Nowitzki enters the game for M. Kleber
5:18.0,W. Barton misses 2-pt jump shot from 10 ft, ,15-17, , 
5:15.0,Offensive rebound by M. Plumlee, ,15-17, , 
5:15.0,Personal foul by D. Powell (drawn by M. Plumlee), ,15-17, , 
5:15.0,G. Harris enters the game for M. Beasley, ,15-17, , 
5:09.0,J. Murray misses 2-pt jump shot from 13 ft, ,15-17, , 
5:08.0,Offensive rebound by M. Plumlee, ,15-17, , 
5:08.0,M. Plumlee misses 2-pt dunk at rim, ,15-17, , 
5:08.0, , ,15-17, ,Defensive rebound by D. Harris
5:08.0, , ,15-17, ,Personal foul by M. Plumlee (drawn by D. Harris)
4:57.0, , ,15-17, ,D. Nowitzki misses 3-pt jump shot from 23 ft
4:54.0,Defensive rebound by G. Harris, ,15-17, , 
4:38.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by M. Plumlee),+3,18-17, , 
4:25.0, , ,18-17, ,Def 3 sec tech foul by Team
4:25.0, , ,18-17, ,D. Nowitzki misses technical free throw
4:25.0, , ,18-17, ,Offensive rebound by Team
4:25.0,M. Morris enters the game for W. Barton, ,18-17, , 
4:25.0,I. Thomas enters the game for J. Murray, ,18-17, , 
4:18.0, , ,18-17, ,J. Brunson misses 2-pt jump shot from 17 ft
4:16.0,Defensive rebound by M. Plumlee, ,18-17, , 
4:06.0,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),+2,20-17, , 
3:51.0, , ,20-19,+2,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris)
3:41.0,M. Morris misses 2-pt jump shot from 13 ft, ,20-19, , 
3:37.0, , ,20-19, ,Defensive rebound by D. Powell
3:31.0, , ,20-21,+2,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris)
3:19.0,I. Thomas misses 2-pt layup from 2 ft (block by J. Brunson), ,20-21, , 
3:17.0,Offensive rebound by Team, ,20-21, , 
3:17.0,P. Millsap enters the game for N. Jokić, ,20-21, , 
3:17.0, , ,20-21, ,T. Burke enters the game for J. Brunson
3:17.0, , ,20-21, ,J. Jackson enters the game for T. Hardaway
3:10.0,Shooting foul by D. Nowitzki (drawn by M. Plumlee), ,20-21, , 
3:10.0,M. Plumlee misses free throw 1 of 2, ,20-21, , 
3:10.0,Offensive rebound by Team, ,20-21, , 
3:10.0,M. Plumlee makes free throw 2 of 2,+1,21-21, , 
3:00.0, , ,21-21, ,T. Burke misses 3-pt jump shot from 24 ft
2:56.0, , ,21-21, ,Offensive rebound by D. Powell
2:55.0, , ,21-21, ,D. Nowitzki misses 3-pt jump shot from 26 ft
2:51.0,Defensive rebound by M. Plumlee, ,21-21, , 
2:49.0,Turnover by M. Plumlee (bad pass; steal by T. Burke), ,21-21, , 
2:43.0, , ,21-21, ,J. Jackson misses 3-pt jump shot from 23 ft
2:39.0, , ,21-21, ,Offensive rebound by D. Powell
2:32.0, , ,21-23,+2,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris)
2:32.0,Denver full timeout, ,21-23, , 
2:20.0,M. Plumlee makes 2-pt dunk at rim (assist by I. Thomas),+2,23-23, , 
2:04.0, , ,23-23, ,Personal foul by I. Thomas (drawn by D. Powell)
2:04.0, , ,23-24,+1,D. Powell makes free throw 1 of 2
2:04.0, , ,23-25,+1,D. Powell makes free throw 2 of 2
1:52.0,I. Thomas misses 2-pt jump shot from 12 ft, ,23-25, , 
1:51.0,Offensive rebound by I. Thomas, ,23-25, , 
1:49.0,I. Thomas misses 2-pt jump shot from 2 ft, ,23-25, , 
1:49.0, , ,23-25, ,Defensive rebound by D. Nowitzki
1:40.0, , ,23-25, ,Shooting foul by I. Thomas (drawn by D. Harris)
1:40.0, , ,23-26,+1,D. Harris makes free throw 1 of 3
1:40.0, , ,23-27,+1,D. Harris makes free throw 2 of 3
1:40.0, , ,23-28,+1,D. Harris makes free throw 3 of 3
