time,away_description,away_change,score,home_change,home_description
11:44.0, , ,0-0, ,R. Jackson misses 2-pt jump shot from 15 ft
11:37.0,Defensive rebound by J. Lamb, ,0-0, , 
11:30.0,M. Williams misses 2-pt jump shot from 9 ft, ,0-0, , 
11:28.0,Offensive rebound by C. Zeller, ,0-0, , 
11:25.0,K. Walker misses 3-pt jump shot from 26 ft, ,0-0, , 
11:22.0, , ,0-0, ,Defensive rebound by A. Drummond
11:14.0, , ,0-0, ,B. Griffin misses 3-pt jump shot from 27 ft
11:10.0, , ,0-0, ,Offensive rebound by R. Jackson
11:02.0, , ,0-0, ,A. Drummond misses 2-pt layup from 5 ft
10:56.0, , ,0-2,+2,R. Bullock makes 2-pt layup from 1 ft
10:56.0, , ,0-2, ,Offensive rebound by R. Bullock
10:37.0,C. Zeller misses 3-pt jump shot from 27 ft, ,0-2, , 
10:33.0, , ,0-2, ,Defensive rebound by A. Drummond
10:27.0, , ,0-2, ,G. Robinson misses 3-pt jump shot from 29 ft
10:24.0, , ,0-2, ,Offensive rebound by A. Drummond
10:22.0, , ,0-4,+2,A. Drummond makes 2-pt layup from 3 ft
10:09.0,N. Batum misses 2-pt jump shot from 9 ft, ,0-4, , 
10:06.0,Offensive rebound by C. Zeller, ,0-4, , 
10:01.0,C. Zeller misses 2-pt hook shot from 5 ft, ,0-4, , 
9:59.0, , ,0-4, ,Defensive rebound by A. Drummond
9:51.0, , ,0-4, ,R. Jackson misses 3-pt jump shot from 28 ft
9:47.0,Defensive rebound by Team, ,0-4, , 
9:34.0,N. Batum makes 2-pt jump shot from 20 ft,+2,2-4, , 
9:10.0, , ,2-4, ,R. Jackson misses 3-pt jump shot from 27 ft
9:09.0, , ,2-4, ,Offensive rebound by A. Drummond
9:09.0, , ,2-4, ,A. Drummond misses 2-pt layup from 1 ft
9:08.0, , ,2-4, ,Offensive rebound by A. Drummond
9:00.0, , ,2-4, ,A. Drummond misses 2-pt layup from 6 ft
9:00.0,Defensive rebound by J. Lamb, ,2-4, , 
9:00.0,Shooting foul by B. Griffin (drawn by C. Zeller), ,2-4, , 
9:00.0,C. Zeller makes free throw 1 of 2,+1,3-4, , 
9:00.0,C. Zeller makes free throw 2 of 2,+1,4-4, , 
8:49.0, , ,4-4, ,R. Bullock misses 2-pt layup from 5 ft
8:46.0,Defensive rebound by M. Williams, ,4-4, , 
8:37.0,Personal foul by A. Drummond (drawn by K. Walker), ,4-4, , 
8:28.0,J. Lamb misses 2-pt jump shot from 7 ft, ,4-4, , 
8:26.0, , ,4-4, ,Defensive rebound by A. Drummond
8:17.0, , ,4-4, ,Personal foul by J. Lamb (drawn by B. Griffin)
8:07.0, , ,4-4, ,Turnover by B. Griffin (lost ball; steal by M. Williams)
8:03.0,J. Lamb makes 3-pt jump shot from 30 ft (assist by K. Walker),+3,7-4, , 
7:46.0, , ,7-7,+3,G. Robinson makes 3-pt jump shot from 23 ft (assist by R. Jackson)
7:33.0,C. Zeller makes 2-pt layup from 3 ft (assist by N. Batum),+2,9-7, , 
7:21.0, , ,9-7, ,R. Jackson misses 3-pt jump shot from 27 ft
7:17.0,Defensive rebound by N. Batum, ,9-7, , 
7:05.0,M. Williams misses 3-pt jump shot from 28 ft, ,9-7, , 
7:01.0, , ,9-7, ,Defensive rebound by A. Drummond
6:44.0, , ,9-7, ,G. Robinson misses 3-pt jump shot from 28 ft
