time,away_description,away_change,score,home_change,home_description
11:38.0,A. Horford makes 2-pt layup from 2 ft (assist by T. Rozier),+2,2-0, , 
11:14.0, , ,2-0, ,J. Embiid misses 2-pt jump shot from 7 ft (block by J. Tatum)
11:10.0,Defensive rebound by M. Smart, ,2-0, , 
11:09.0,M. Morris misses 2-pt layup from 3 ft (block by J. Embiid), ,2-0, , 
11:04.0, , ,2-0, ,Defensive rebound by J. Butler
10:48.0, , ,2-0, ,Turnover by B. Simmons (bad pass; steal by M. Smart)
10:47.0,Turnover by M. Smart (bad pass; steal by B. Simmons), ,2-0, , 
10:41.0, , ,2-0, ,T. Harris misses 2-pt jump shot from 21 ft
10:37.0,Defensive rebound by M. Morris, ,2-0, , 
10:29.0,A. Horford misses 2-pt jump shot from 20 ft, ,2-0, , 
10:27.0, , ,2-0, ,Defensive rebound by T. Harris
10:20.0, , ,2-0, ,B. Simmons misses 2-pt jump shot from 10 ft
10:18.0, , ,2-0, ,Offensive rebound by J. Embiid
10:16.0, , ,2-2,+2,J. Embiid makes 2-pt layup from 2 ft
10:00.0,M. Smart makes 2-pt layup from 2 ft,+2,4-2, , 
9:52.0, , ,4-2, ,J. Redick misses 3-pt jump shot from 26 ft
9:48.0, , ,4-2, ,Offensive rebound by J. Redick
9:46.0, , ,4-2, ,J. Redick misses 2-pt jump shot from 14 ft
9:44.0,Defensive rebound by M. Morris, ,4-2, , 
9:33.0,M. Morris makes 2-pt jump shot from 14 ft,+2,6-2, , 
9:17.0, , ,6-4,+2,J. Butler makes 2-pt jump shot from 10 ft
8:47.0,J. Tatum misses 2-pt jump shot from 16 ft, ,6-4, , 
8:44.0,Offensive rebound by A. Horford, ,6-4, , 
8:34.0,J. Tatum misses 2-pt jump shot from 22 ft, ,6-4, , 
8:30.0,Offensive rebound by M. Morris, ,6-4, , 
8:18.0,M. Morris makes 2-pt jump shot from 10 ft,+2,8-4, , 
7:57.0, , ,8-4, ,Shooting foul by A. Horford (drawn by J. Embiid)
7:57.0,Technical foul by A. Horford, ,8-4, , 
7:57.0, , ,8-5,+1,J. Redick makes technical free throw
7:57.0, , ,8-6,+1,J. Embiid makes free throw 1 of 2
7:57.0, , ,8-6, ,J. Embiid misses free throw 2 of 2
7:53.0,Defensive rebound by J. Tatum, ,8-6, , 
7:45.0,T. Rozier misses 2-pt jump shot from 20 ft, ,8-6, , 
7:42.0, , ,8-6, ,Defensive rebound by T. Harris
7:39.0, , ,8-6, ,T. Harris misses 2-pt layup from 3 ft (block by J. Tatum)
7:34.0,Defensive rebound by M. Morris, ,8-6, , 
7:32.0,M. Morris makes 2-pt jump shot from 13 ft,+2,10-6, , 
7:07.0, , ,10-6, ,Turnover by J. Embiid (bad pass; steal by T. Rozier)
7:01.0,M. Smart misses 3-pt jump shot from 26 ft, ,10-6, , 
6:57.0, , ,10-6, ,Defensive rebound by J. Butler
6:57.0, , ,10-6, ,Shooting foul by J. Tatum (drawn by B. Simmons)
6:57.0, , ,10-6, ,Philadelphia full timeout
6:57.0, , ,10-6, ,F. Korkmaz enters the game for J. Butler
6:57.0, , ,10-6, ,B. Marjanović enters the game for J. Embiid
6:57.0, , ,10-6, ,J. Simmons enters the game for J. Redick
6:57.0, , ,10-6, ,B. Simmons misses free throw 1 of 2
6:57.0, , ,10-6, ,Offensive rebound by Team
6:57.0, , ,10-7,+1,B. Simmons makes free throw 2 of 2
6:42.0,A. Horford misses 3-pt jump shot from 23 ft, ,10-7, , 
6:38.0, , ,10-7, ,Defensive rebound by T. Harris
6:18.0, , ,10-9,+2,T. Harris makes 2-pt layup from 1 ft (assist by B. Marjanović)
5:59.0,A. Horford makes 2-pt layup from 4 ft,+2,12-9, , 
5:46.0, , ,12-9, ,Turnover by B. Simmons (bad pass; steal by A. Horford)
5:42.0,M. Morris misses 2-pt jump shot from 16 ft, ,12-9, , 
5:39.0, , ,12-9, ,Defensive rebound by T. Harris
5:32.0, , ,12-9, ,F. Korkmaz misses 2-pt jump shot from 8 ft
5:29.0,Defensive rebound by T. Rozier, ,12-9, , 
5:23.0,Shooting foul by J. Simmons (drawn by J. Tatum), ,12-9, , 
5:23.0,J. Tatum makes free throw 1 of 2,+1,13-9, , 
5:23.0,G. Hayward enters the game for A. Horford, ,13-9, , 
5:23.0,D. Theis enters the game for M. Smart, ,13-9, , 
5:23.0,J. Tatum makes free throw 2 of 2,+1,14-9, , 
5:09.0, , ,14-11,+2,F. Korkmaz makes 2-pt jump shot from 9 ft (assist by B. Simmons)
4:50.0,J. Tatum misses 2-pt jump shot from 16 ft, ,14-11, , 
4:47.0, , ,14-11, ,Defensive rebound by B. Marjanović
4:41.0, , ,14-11, ,T. Harris misses 3-pt jump shot from 26 ft
4:40.0, , ,14-11, ,Offensive rebound by B. Marjanović
4:40.0, , ,14-11, ,Shooting foul by D. Theis (drawn by B. Marjanović)
4:40.0, , ,14-12,+1,B. Marjanović makes free throw 1 of 2
4:40.0, , ,14-13,+1,B. Marjanović makes free throw 2 of 2
4:24.0,M. Morris makes 2-pt jump shot from 10 ft (assist by D. Theis),+2,16-13, , 
4:00.0, , ,16-13, ,B. Simmons misses 2-pt jump shot from 13 ft
3:58.0,Defensive rebound by Team, ,16-13, , 
3:43.0,Shooting foul by B. Marjanović (drawn by D. Theis), ,16-13, , 
3:43.0,D. Theis misses free throw 1 of 2, ,16-13, , 
3:43.0,Offensive rebound by Team, ,16-13, , 
3:43.0,D. Theis makes free throw 2 of 2,+1,17-13, , 
3:28.0, , ,17-13, ,Offensive foul by T. Harris (drawn by G. Hayward)
