time,away_description,away_change,score,home_change,home_description
11:46.0,F. Jackson misses 3-pt jump shot from 25 ft, ,0-0, , 
11:43.0, , ,0-0, ,Defensive rebound by J. Brunson
11:30.0, , ,0-0, ,L. Dončić misses 2-pt layup from 1 ft
11:27.0,Defensive rebound by J. Randle, ,0-0, , 
11:20.0,K. Williams misses 3-pt jump shot from 25 ft, ,0-0, , 
11:17.0, , ,0-0, ,Defensive rebound by D. Powell
11:13.0, , ,0-0, ,Turnover by T. Hardaway (bad pass)
10:56.0,E. Payton misses 2-pt layup from 5 ft, ,0-0, , 
10:53.0, , ,0-0, ,Defensive rebound by L. Dončić
10:43.0, , ,0-2,+2,J. Brunson makes 2-pt layup from 1 ft (assist by L. Dončić)
10:43.0, , ,0-2, ,Shooting foul by K. Williams (drawn by J. Brunson)
10:43.0, , ,0-3,+1,J. Brunson makes free throw 1 of 1
10:25.0,Turnover by F. Jackson (bad pass; steal by T. Hardaway), ,0-3, , 
10:22.0, , ,0-3, ,T. Hardaway misses 3-pt jump shot from 26 ft
10:20.0, , ,0-3, ,Offensive rebound by D. Powell
10:18.0, , ,0-3, ,L. Dončić misses 3-pt jump shot from 28 ft
10:14.0,Defensive rebound by J. Randle, ,0-3, , 
10:06.0,A. Davis makes 3-pt jump shot from 25 ft (assist by E. Payton),+3,3-3, , 
9:51.0, , ,3-5,+2,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by J. Brunson)
9:43.0,Shooting foul by D. Powell (drawn by A. Davis), ,3-5, , 
9:43.0,A. Davis makes free throw 1 of 2,+1,4-5, , 
9:43.0,A. Davis makes free throw 2 of 2,+1,5-5, , 
9:23.0, , ,5-8,+3,T. Hardaway makes 3-pt jump shot from 24 ft (assist by D. Nowitzki)
9:15.0,K. Williams makes 3-pt jump shot from 29 ft (assist by E. Payton),+3,8-8, , 
9:01.0, , ,8-10,+2,L. Dončić makes 2-pt dunk from 2 ft
8:47.0,Offensive foul by J. Randle (drawn by L. Dončić), ,8-10, , 
8:47.0,Turnover by J. Randle (offensive foul), ,8-10, , 
8:35.0, , ,8-12,+2,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by L. Dončić)
8:20.0,Turnover by E. Payton (bad pass; steal by D. Powell), ,8-12, , 
8:19.0, , ,8-12, ,Personal take foul by A. Davis (drawn by T. Hardaway)
8:19.0, , ,8-12, ,M. Kleber enters the game for D. Powell
8:02.0, , ,8-12, ,L. Dončić misses 2-pt jump shot from 5 ft
8:02.0,Defensive rebound by A. Davis, ,8-12, , 
7:55.0,J. Randle makes 2-pt layup at rim (assist by A. Davis),+2,10-12, , 
7:40.0, , ,10-12, ,M. Kleber misses 2-pt layup from 3 ft (block by A. Davis)
7:40.0,Defensive rebound by K. Williams, ,10-12, , 
7:30.0,Turnover by E. Payton (bad pass; steal by M. Kleber), ,10-12, , 
7:23.0, , ,10-12, ,J. Brunson misses 3-pt jump shot from 27 ft
7:23.0, , ,10-12, ,Offensive rebound by D. Nowitzki
7:23.0, , ,10-12, ,Personal foul by E. Payton (drawn by D. Nowitzki)
7:23.0, , ,10-12, ,S. Mejri enters the game for D. Nowitzki
7:19.0, , ,10-12, ,M. Kleber misses 2-pt jump shot from 4 ft (block by J. Randle)
7:16.0,Defensive rebound by E. Payton, ,10-12, , 
7:14.0,F. Jackson makes 2-pt layup from 1 ft (assist by E. Payton),+2,12-12, , 
6:50.0, , ,12-15,+3,L. Dončić makes 3-pt jump shot from 25 ft
6:36.0,J. Randle misses 3-pt jump shot from 22 ft, ,12-15, , 
6:34.0, , ,12-15, ,Defensive rebound by L. Dončić
6:29.0, , ,12-15, ,L. Dončić misses 3-pt jump shot from 26 ft
6:26.0,Defensive rebound by E. Payton, ,12-15, , 
6:22.0,F. Jackson makes 3-pt jump shot from 26 ft (assist by E. Payton),+3,15-15, , 
6:21.0, , ,15-15, ,Dallas full timeout
6:21.0, , ,15-15, ,D. Finney-Smith enters the game for J. Brunson
6:10.0, , ,15-15, ,Offensive foul by T. Hardaway (drawn by F. Jackson)
6:10.0, , ,15-15, ,Turnover by T. Hardaway (offensive foul)
5:56.0,J. Randle makes 2-pt hook shot from 2 ft (assist by A. Davis),+2,17-15, , 
5:45.0, , ,17-15, ,T. Hardaway misses 2-pt jump shot from 9 ft
5:45.0, , ,17-15, ,Offensive rebound by T. Hardaway
5:38.0, , ,17-17,+2,T. Hardaway makes 2-pt jump shot from 15 ft (assist by D. Finney-Smith)
5:31.0,K. Williams misses 2-pt layup at rim (block by M. Kleber), ,17-17, , 
5:29.0, , ,17-17, ,Defensive rebound by S. Mejri
5:25.0, , ,17-19,+2,S. Mejri makes 2-pt dunk from 1 ft (assist by T. Hardaway)
5:15.0,J. Randle makes 2-pt dunk at rim (assist by A. Davis),+2,19-19, , 
5:02.0, , ,19-22,+3,S. Mejri makes 3-pt jump shot from 25 ft (assist by M. Kleber)
4:37.0,E. Payton makes 2-pt jump shot from 8 ft (assist by J. Randle),+2,21-22, , 
4:17.0, , ,21-22, ,D. Finney-Smith misses 3-pt jump shot from 25 ft
4:15.0,Defensive rebound by F. Jackson, ,21-22, , 
3:57.0,Turnover by A. Davis (bad pass; steal by S. Mejri), ,21-22, , 
3:54.0, , ,21-24,+2,M. Kleber makes 2-pt dunk from 1 ft
3:39.0,A. Davis misses 3-pt jump shot from 25 ft, ,21-24, , 
3:36.0,Offensive rebound by K. Williams, ,21-24, , 
3:34.0,J. Randle makes 3-pt jump shot from 25 ft (assist by K. Williams),+3,24-24, , 
3:18.0, , ,24-24, ,Personal foul by J. Randle (drawn by D. Finney-Smith)
3:18.0,C. Diallo enters the game for A. Davis, ,24-24, , 
3:18.0,D. Miller enters the game for J. Randle, ,24-24, , 
3:18.0,J. Okafor enters the game for K. Williams, ,24-24, , 
3:18.0, , ,24-24, ,J. Brunson enters the game for L. Dončić
3:18.0, , ,24-24, ,D. Harris enters the game for T. Hardaway
3:04.0, , ,24-24, ,S. Mejri misses 3-pt jump shot from 25 ft
3:01.0,Defensive rebound by C. Diallo, ,24-24, , 
2:51.0,D. Miller misses 3-pt jump shot from 25 ft, ,24-24, , 
2:46.0, , ,24-24, ,Defensive rebound by M. Kleber
