time,away_description,away_change,score,home_change,home_description
11:44.0, , ,0-0, ,J. Embiid misses 2-pt jump shot from 13 ft (block by J. Smith)
11:43.0, , ,0-0, ,Offensive rebound by Team
11:40.0, , ,0-0, ,R. Covington misses 2-pt jump shot from 20 ft
11:39.0,Defensive rebound by K. Love, ,0-0, , 
11:33.0,J. Smith misses 3-pt jump shot from 26 ft, ,0-0, , 
11:32.0,Offensive rebound by T. Thompson, ,0-0, , 
11:30.0,T. Thompson misses 2-pt layup from 1 ft (block by J. Embiid), ,0-0, , 
11:28.0, , ,0-0, ,Defensive rebound by J. Embiid
11:22.0, , ,0-3,+3,S. Rodríguez makes 3-pt jump shot from 27 ft (assist by G. Henderson)
11:01.0,J. Smith misses 2-pt jump shot from 7 ft (block by J. Embiid), ,0-3, , 
11:00.0,Offensive rebound by Team, ,0-3, , 
10:55.0,L. James misses 2-pt jump shot from 9 ft, ,0-3, , 
10:53.0, , ,0-3, ,Defensive rebound by G. Henderson
10:49.0, , ,0-5,+2,E. İlyasova makes 2-pt layup from 1 ft (assist by G. Henderson)
10:23.0,K. Irving misses 2-pt jump shot from 17 ft, ,0-5, , 
10:22.0,Offensive rebound by K. Love, ,0-5, , 
10:22.0, , ,0-5, ,Loose ball foul by R. Covington (drawn by K. Love)
10:12.0,L. James misses 3-pt jump shot from 26 ft, ,0-5, , 
10:10.0,Offensive rebound by K. Love, ,0-5, , 
10:08.0,K. Love misses 3-pt jump shot from 26 ft, ,0-5, , 
10:07.0, , ,0-5, ,Defensive rebound by R. Covington
9:54.0, , ,0-5, ,E. İlyasova misses 3-pt jump shot from 25 ft
9:52.0, , ,0-5, ,Offensive rebound by J. Embiid
9:52.0, , ,0-5, ,J. Embiid misses 2-pt layup from 3 ft
9:51.0,Defensive rebound by L. James, ,0-5, , 
9:38.0,K. Irving misses 2-pt jump shot from 10 ft, ,0-5, , 
9:36.0,Offensive rebound by K. Irving, ,0-5, , 
9:33.0,Shooting block foul by R. Covington (drawn by K. Love), ,0-5, , 
9:33.0,K. Love makes free throw 1 of 2,+1,1-5, , 
9:33.0, , ,0-5, ,H. Thompson enters the game for R. Covington
9:33.0,R. Jefferson enters the game for K. Love, ,1-5, , 
9:33.0,K. Love makes free throw 2 of 2,+1,2-5, , 
9:24.0, , ,2-5, ,J. Embiid misses 2-pt jump shot from 4 ft
9:21.0, , ,2-5, ,Offensive rebound by J. Embiid
9:16.0, , ,2-5, ,G. Henderson misses 3-pt jump shot from 25 ft
9:14.0,Defensive rebound by J. Smith, ,2-5, , 
9:03.0,J. Smith misses 2-pt jump shot from 17 ft, ,2-5, , 
9:01.0, , ,2-5, ,Defensive rebound by J. Embiid
8:53.0, , ,2-8,+3,J. Embiid makes 3-pt jump shot from 26 ft (assist by S. Rodríguez)
8:41.0,T. Thompson misses 2-pt jump shot from 7 ft, ,2-8, , 
8:40.0, , ,2-8, ,Defensive rebound by E. İlyasova
8:33.0, , ,2-8, ,J. Embiid misses 3-pt jump shot from 27 ft
8:32.0,Defensive rebound by Team, ,2-8, , 
8:14.0,K. Irving misses 3-pt jump shot from 25 ft, ,2-8, , 
8:12.0, , ,2-8, ,Defensive rebound by H. Thompson
8:01.0, , ,2-10,+2,S. Rodríguez makes 2-pt jump shot from 12 ft
7:37.0,J. Smith misses 3-pt jump shot from 27 ft, ,2-10, , 
7:36.0, , ,2-10, ,Defensive rebound by S. Rodríguez
7:23.0, , ,2-10, ,E. İlyasova misses 3-pt jump shot from 25 ft
7:22.0,Defensive rebound by L. James, ,2-10, , 
7:14.0,K. Irving misses 2-pt jump shot from 14 ft, ,2-10, , 
7:11.0,Offensive rebound by T. Thompson, ,2-10, , 
7:11.0,T. Thompson misses 2-pt layup from 1 ft, ,2-10, , 
7:10.0, , ,2-10, ,Defensive rebound by E. İlyasova
7:02.0,Violation by R. Jefferson (kicked ball), ,2-10, , 
7:02.0, , ,2-10, ,Philadelphia full timeout
7:02.0, , ,2-10, ,J. Okafor enters the game for J. Embiid
6:57.0, , ,2-10, ,S. Rodríguez misses 3-pt jump shot from 28 ft
6:54.0,Defensive rebound by J. Smith, ,2-10, , 
6:50.0,L. James makes 2-pt layup from 3 ft,+2,4-10, , 
6:35.0, , ,4-10, ,Turnover by S. Rodríguez (bad pass)
6:27.0,Turnover by L. James (lost ball; steal by S. Rodríguez), ,4-10, , 
6:19.0, , ,4-12,+2,G. Henderson makes 2-pt jump shot from 14 ft
6:04.0,L. James makes 2-pt dunk at rim,+2,6-12, , 
5:51.0, , ,6-12, ,G. Henderson misses 2-pt jump shot from 15 ft
5:49.0, , ,6-12, ,Offensive rebound by J. Okafor
5:48.0, , ,6-14,+2,J. Okafor makes 2-pt layup from 2 ft
5:29.0,L. James misses 2-pt jump shot from 10 ft, ,6-14, , 
5:26.0, , ,6-14, ,Defensive rebound by G. Henderson
5:15.0, , ,6-16,+2,J. Okafor makes 2-pt layup from 3 ft (assist by S. Rodríguez)
5:01.0,K. Irving makes 2-pt layup from 1 ft,+2,8-16, , 
5:01.0,Shooting foul by J. Okafor (drawn by K. Irving), ,8-16, , 
5:01.0, , ,8-16, ,D. Šarić enters the game for E. İlyasova
5:01.0, , ,8-16, ,N. Stauskas enters the game for G. Henderson
5:01.0,K. Irving makes free throw 1 of 1,+1,9-16, , 
4:48.0, , ,9-18,+2,D. Šarić makes 2-pt jump shot from 7 ft (assist by N. Stauskas)
4:40.0,L. James makes 2-pt layup from 1 ft,+2,11-18, , 
4:17.0, , ,11-21,+3,N. Stauskas makes 3-pt jump shot from 26 ft (assist by D. Šarić)
4:02.0,K. Irving makes 3-pt jump shot from 26 ft,+3,14-21, , 
3:49.0, , ,14-23,+2,J. Okafor makes 2-pt jump shot from 15 ft
3:36.0,Personal foul by S. Rodríguez (drawn by K. Irving), ,14-23, , 
3:36.0, , ,14-23, ,T. McConnell enters the game for S. Rodríguez
3:22.0,J. Smith misses 3-pt jump shot from 25 ft, ,14-23, , 
3:20.0, , ,14-23, ,Defensive rebound by J. Okafor
3:07.0, , ,14-23, ,H. Thompson misses 3-pt jump shot from 27 ft
3:06.0,Defensive rebound by L. James, ,14-23, , 
2:54.0,J. Smith misses 2-pt layup from 2 ft, ,14-23, , 
2:53.0, , ,14-23, ,Defensive rebound by J. Okafor
2:41.0, , ,14-23, ,D. Šarić misses 2-pt layup from 3 ft
2:40.0,Defensive rebound by Team, ,14-23, , 
2:40.0,Cleveland full timeout, ,14-23, , 
2:40.0, , ,14-23, ,J. Embiid enters the game for J. Okafor
2:40.0,K. Love enters the game for T. Thompson, ,14-23, , 
2:40.0,M. Dunleavy enters the game for J. Smith, ,14-23, , 
2:40.0,D. Liggins enters the game for K. Irving, ,14-23, , 
2:29.0,Shooting foul by H. Thompson (drawn by L. James), ,14-23, , 
2:29.0,L. James makes free throw 1 of 2,+1,15-23, , 
2:29.0,L. James makes free throw 2 of 2,+1,16-23, , 
2:17.0, , ,16-25,+2,N. Stauskas makes 2-pt layup from 2 ft
2:01.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),+3,19-25, , 
1:48.0, , ,19-27,+2,T. McConnell makes 2-pt layup from 1 ft (assist by J. Embiid)
1:31.0,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),+3,22-27, , 
1:22.0, , ,22-27, ,Personal foul by D. Liggins (drawn by J. Embiid)
1:07.0, , ,22-27, ,H. Thompson misses 2-pt jump shot from 8 ft
1:05.0, , ,22-27, ,Offensive rebound by J. Embiid
1:05.0, , ,22-27, ,Shooting foul by M. Dunleavy (drawn by J. Embiid)
1:05.0, , ,22-27, ,J. Embiid misses free throw 1 of 2
1:05.0, , ,22-27, ,Offensive rebound by Team
1:05.0, , ,22-28,+1,J. Embiid makes free throw 2 of 2
0:53.0,K. Love misses 3-pt jump shot from 25 ft, ,22-28, , 
0:51.0, , ,22-28, ,Defensive rebound by N. Stauskas
0:40.0, , ,22-28, ,D. Šarić misses 2-pt jump shot from 5 ft
0:38.0,Defensive rebound by K. Love, ,22-28, , 
0:38.0, , ,22-28, ,Loose ball foul by D. Šarić (drawn by K. Love)
0:38.0,K. Love makes free throw 1 of 2,+1,23-28, , 
0:38.0,K. Love makes free throw 2 of 2,+1,24-28, , 
0:28.0, , ,24-30,+2,J. Embiid makes 2-pt layup from 2 ft (assist by N. Stauskas)
0:28.0, , ,24-30, ,Shooting block foul by R. Jefferson (drawn by J. Embiid)
0:28.0, , ,24-30, ,J. Embiid misses free throw 1 of 1
0:27.0,Defensive rebound by R. Jefferson, ,24-30, , 
0:06.0,K. Love misses 3-pt jump shot from 27 ft, ,24-30, , 
