time,away_description,away_change,score,home_change,home_description
11:44.0, , ,0-0, ,Turnover by R. Covington (bad pass)
11:30.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),+2,2-0, , 
11:14.0, , ,2-2,+2,J. Embiid makes 2-pt jump shot from 4 ft (assist by R. Covington)
10:59.0,A. Davis misses 2-pt jump shot from 17 ft, ,2-2, , 
10:57.0, , ,2-2, ,Defensive rebound by S. Rodríguez
10:48.0, , ,2-2, ,Shooting foul by A. Davis (drawn by J. Embiid)
10:48.0, , ,2-3,+1,J. Embiid makes free throw 1 of 2
10:48.0, , ,2-4,+1,J. Embiid makes free throw 2 of 2
10:28.0,A. Davis misses 2-pt jump shot from 16 ft, ,2-4, , 
10:26.0, , ,2-4, ,Defensive rebound by J. Okafor
10:15.0, , ,2-7,+3,R. Covington makes 3-pt jump shot from 23 ft (assist by S. Rodríguez)
10:04.0,A. Davis misses 2-pt hook shot from 6 ft, ,2-7, , 
10:02.0, , ,2-7, ,Defensive rebound by J. Okafor
9:47.0, , ,2-7, ,J. Embiid misses 2-pt jump shot from 16 ft
9:45.0,Defensive rebound by A. Ajinça, ,2-7, , 
9:35.0,J. Holiday misses 2-pt jump shot from 11 ft, ,2-7, , 
9:33.0, , ,2-7, ,Defensive rebound by J. Okafor
9:21.0, , ,2-7, ,G. Henderson misses 3-pt jump shot from 25 ft
9:20.0,Defensive rebound by J. Holiday, ,2-7, , 
9:11.0,Def 3 sec tech foul by R. Covington, ,2-7, , 
9:11.0,A. Davis makes technical free throw,+1,3-7, , 
9:06.0,B. Hield makes 2-pt layup from 1 ft (assist by J. Holiday),+2,5-7, , 
8:48.0, , ,5-7, ,S. Rodríguez misses 3-pt jump shot from 26 ft
8:47.0, , ,5-7, ,Offensive rebound by Team
8:42.0, , ,5-7, ,Personal foul by J. Holiday (drawn by S. Rodríguez)
8:32.0, , ,5-7, ,G. Henderson misses 2-pt jump shot from 6 ft
8:30.0,Defensive rebound by A. Ajinça, ,5-7, , 
8:13.0,B. Hield misses 2-pt jump shot from 19 ft, ,5-7, , 
8:12.0, , ,5-7, ,Defensive rebound by J. Embiid
8:05.0,Offensive charge foul by J. Embiid (drawn by A. Ajinça), ,5-7, , 
8:05.0, , ,5-7, ,Turnover by J. Embiid (offensive foul)
7:55.0,J. Holiday misses 3-pt jump shot from 26 ft, ,5-7, , 
7:54.0, , ,5-7, ,Defensive rebound by G. Henderson
7:42.0, , ,5-7, ,Def 3 sec tech foul by B. Hield
7:42.0, , ,5-7, ,S. Rodríguez misses technical free throw
7:42.0, , ,5-7, ,Offensive rebound by Team
7:32.0, , ,5-7, ,J. Embiid misses 3-pt jump shot from 24 ft
7:31.0,Defensive rebound by A. Ajinça, ,5-7, , 
7:23.0,Turnover by A. Davis (lost ball), ,5-7, , 
7:09.0, , ,5-7, ,S. Rodríguez misses 3-pt jump shot from 24 ft
7:08.0,Defensive rebound by Team, ,5-7, , 
7:08.0, , ,5-7, ,E. İlyasova enters the game for J. Embiid
7:01.0,Turnover by B. Hield (bad pass), ,5-7, , 
6:42.0, , ,5-7, ,Shooting foul by A. Ajinça (drawn by J. Okafor)
6:42.0, , ,5-8,+1,J. Okafor makes free throw 1 of 2
6:42.0, , ,5-8, ,J. Okafor misses free throw 2 of 2
6:41.0,Defensive rebound by A. Davis, ,5-8, , 
6:25.0,B. Hield makes 2-pt layup from 2 ft (assist by J. Holiday),+2,7-8, , 
6:15.0, , ,7-8, ,R. Covington misses 3-pt jump shot from 26 ft
6:13.0,Defensive rebound by A. Ajinça, ,7-8, , 
6:02.0,A. Ajinça misses 2-pt jump shot from 18 ft, ,7-8, , 
6:00.0, , ,7-8, ,Defensive rebound by R. Covington
5:51.0, , ,7-10,+2,J. Okafor makes 2-pt dunk at rim (assist by S. Rodríguez)
5:45.0,Turnover by B. Hield (lost ball), ,7-10, , 
5:45.0, , ,7-10, ,Philadelphia full timeout
5:45.0, , ,7-10, ,N. Stauskas enters the game for G. Henderson
5:45.0,T. Jones enters the game for A. Ajinça, ,7-10, , 
5:26.0, , ,7-10, ,Turnover by J. Okafor (traveling)
5:13.0,A. Davis misses 2-pt jump shot from 18 ft, ,7-10, , 
5:11.0, , ,7-10, ,Defensive rebound by R. Covington
4:56.0, , ,7-13,+3,S. Rodríguez makes 3-pt jump shot from 24 ft (assist by R. Covington)
4:47.0,J. Holiday makes 2-pt layup from 1 ft,+2,9-13, , 
4:32.0, , ,9-13, ,E. İlyasova misses 2-pt layup from 3 ft
4:30.0, , ,9-13, ,Offensive rebound by J. Okafor
4:30.0, , ,9-13, ,J. Okafor misses 2-pt layup from 2 ft
4:28.0,Defensive rebound by J. Holiday, ,9-13, , 
4:22.0,B. Hield misses 2-pt jump shot from 11 ft, ,9-13, , 
4:21.0,Offensive rebound by A. Davis, ,9-13, , 
4:18.0,A. Davis misses 2-pt jump shot from 6 ft (block by N. Stauskas), ,9-13, , 
4:15.0,Offensive rebound by A. Davis, ,9-13, , 
4:12.0,S. Hill misses 3-pt jump shot from 26 ft, ,9-13, , 
4:10.0, , ,9-13, ,Defensive rebound by N. Stauskas
3:52.0, , ,9-13, ,S. Rodríguez misses 2-pt jump shot from 15 ft
3:50.0,Defensive rebound by T. Jones, ,9-13, , 
3:38.0,T. Jones makes 2-pt hook shot from 11 ft,+2,11-13, , 
3:28.0, , ,11-13, ,E. İlyasova misses 3-pt jump shot from 26 ft
3:26.0,Defensive rebound by T. Jones, ,11-13, , 
3:14.0,A. Davis misses 2-pt jump shot from 11 ft, ,11-13, , 
3:12.0, , ,11-13, ,Defensive rebound by J. Okafor
3:08.0, , ,11-13, ,Philadelphia full timeout
3:08.0, , ,11-13, ,J. Embiid enters the game for J. Okafor
3:08.0, , ,11-13, ,T. McConnell enters the game for S. Rodríguez
3:08.0,T. Frazier enters the game for J. Holiday, ,11-13, , 
3:08.0,E. Moore enters the game for B. Hield, ,11-13, , 
3:05.0,Violation by Team (jump ball), ,11-13, , 
2:54.0, , ,11-13, ,E. İlyasova misses 3-pt jump shot from 27 ft
2:53.0, , ,11-13, ,Offensive rebound by E. İlyasova
2:51.0, , ,11-13, ,Shooting foul by S. Hill (drawn by E. İlyasova)
2:51.0,New Orleans full timeout, ,11-13, , 
2:51.0, , ,11-14,+1,E. İlyasova makes free throw 1 of 2
2:51.0, , ,11-13, ,D. Šarić enters the game for R. Covington
2:51.0,D. Cunningham enters the game for S. Hill, ,11-13, , 
2:51.0, , ,11-15,+1,E. İlyasova makes free throw 2 of 2
