time,away_description,away_change,score,home_change,home_description
11:46.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft, ,0-0, , 
11:44.0, , ,0-0, ,Defensive rebound by R. Gobert
11:33.0, , ,0-0, ,R. Rubio misses 2-pt layup from 4 ft
11:30.0,Defensive rebound by N. Mirotić, ,0-0, , 
11:16.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,+2,2-0, , 
11:05.0, , ,2-0, ,D. Mitchell misses 2-pt jump shot from 8 ft (block by B. Lopez)
11:03.0,Defensive rebound by B. Lopez, ,2-0, , 
10:52.0,K. Middleton misses 2-pt layup from 2 ft, ,2-0, , 
10:49.0,Offensive rebound by K. Middleton, ,2-0, , 
10:49.0,K. Middleton misses 2-pt layup from 3 ft, ,2-0, , 
10:49.0, , ,2-0, ,Defensive rebound by J. Ingles
10:33.0, , ,2-0, ,Turnover by D. Mitchell (lost ball; steal by E. İlyasova)
10:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),+2,4-0, , 
10:14.0, , ,4-0, ,Personal foul by G. Antetokounmpo (drawn by R. Gobert)
10:07.0, , ,4-0, ,Turnover by J. Ingles (offensive foul)
10:07.0, , ,4-0, ,Offensive foul by J. Ingles (drawn by E. İlyasova)
9:52.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft,+2,6-0, , 
9:41.0, , ,6-0, ,D. Favors misses 2-pt dunk from 3 ft (block by B. Lopez)
9:41.0, , ,6-0, ,Offensive rebound by R. Gobert
9:41.0, , ,6-0, ,Shooting foul by E. İlyasova (drawn by R. Gobert)
9:41.0, , ,6-0, ,R. Gobert misses free throw 1 of 2
9:41.0, , ,6-0, ,Offensive rebound by Team
9:41.0, , ,6-0, ,R. Gobert misses free throw 2 of 2
9:39.0,Defensive rebound by G. Antetokounmpo, ,6-0, , 
9:25.0,K. Middleton makes 2-pt layup from 3 ft,+2,8-0, , 
9:25.0, , ,8-0, ,Utah full timeout
9:14.0, , ,8-0, ,D. Mitchell misses 3-pt jump shot from 25 ft
9:09.0,Defensive rebound by K. Middleton, ,8-0, , 
9:04.0,K. Middleton makes 3-pt jump shot from 25 ft,+3,11-0, , 
8:49.0, , ,11-0, ,J. Ingles misses 2-pt layup from 4 ft (block by B. Lopez)
8:49.0, , ,11-0, ,Offensive rebound by Team
