time,away_description,away_change,score,home_change,home_description
11:43.0, , ,0-0, ,A. Gordon misses 2-pt layup from 3 ft
11:39.0,Defensive rebound by J. Butler, ,0-0, , 
11:26.0,J. Embiid misses 2-pt layup from 3 ft, ,0-0, , 
11:24.0,Offensive rebound by J. Embiid, ,0-0, , 
11:23.0,Shooting foul by J. Isaac (drawn by J. Redick), ,0-0, , 
11:23.0,J. Redick makes free throw 1 of 3,+1,1-0, , 
11:23.0,J. Redick makes free throw 2 of 3,+1,2-0, , 
11:23.0,J. Redick makes free throw 3 of 3,+1,3-0, , 
11:06.0, , ,3-2,+2,E. Fournier makes 2-pt jump shot from 11 ft
10:44.0,J. Embiid misses 2-pt jump shot from 16 ft, ,3-2, , 
10:41.0, , ,3-2, ,Defensive rebound by A. Gordon
10:34.0, , ,3-2, ,A. Gordon misses 2-pt jump shot from 3 ft
10:31.0,Defensive rebound by J. Embiid, ,3-2, , 
10:22.0,T. Harris makes 2-pt hook shot from 6 ft,+2,5-2, , 
10:07.0, , ,5-2, ,Personal foul by J. Embiid (drawn by N. Vučević)
9:59.0, , ,5-2, ,E. Fournier misses 2-pt jump shot from 9 ft
9:56.0,Defensive rebound by T. McConnell, ,5-2, , 
9:48.0,Shooting foul by E. Fournier (drawn by J. Embiid), ,5-2, , 
9:48.0,J. Embiid makes free throw 1 of 2,+1,6-2, , 
9:48.0,J. Embiid misses free throw 2 of 2, ,6-2, , 
9:46.0, , ,6-2, ,Defensive rebound by N. Vučević
9:34.0, , ,6-4,+2,N. Vučević makes 2-pt jump shot from 13 ft (assist by D. Augustin)
9:13.0,J. Redick misses 3-pt jump shot from 25 ft, ,6-4, , 
9:09.0, , ,6-4, ,Defensive rebound by N. Vučević
9:04.0, , ,6-4, ,N. Vučević misses 3-pt jump shot from 26 ft
9:02.0,Defensive rebound by J. Butler, ,6-4, , 
8:54.0,J. Embiid makes 2-pt layup from 2 ft (assist by J. Butler),+2,8-4, , 
8:40.0, , ,8-7,+3,J. Isaac makes 3-pt jump shot from 26 ft (assist by E. Fournier)
8:23.0,Turnover by T. McConnell (bad pass; steal by A. Gordon), ,8-7, , 
8:19.0, , ,8-9,+2,J. Isaac makes 2-pt dunk from 1 ft (assist by A. Gordon)
8:04.0,Turnover by J. Embiid (bad pass; steal by A. Gordon), ,8-9, , 
7:59.0, , ,8-9, ,E. Fournier misses 3-pt jump shot from 24 ft
7:56.0,Defensive rebound by T. McConnell, ,8-9, , 
7:37.0,J. Butler makes 2-pt jump shot from 15 ft,+2,10-9, , 
7:17.0, , ,10-11,+2,N. Vučević makes 2-pt hook shot from 6 ft
6:56.0,Turnover by J. Embiid (bad pass), ,10-11, , 
6:56.0, , ,10-11, ,Orlando full timeout
6:46.0, , ,10-13,+2,N. Vučević makes 2-pt jump shot from 14 ft (assist by E. Fournier)
6:29.0,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),+2,12-13, , 
6:17.0, , ,12-13, ,N. Vučević misses 2-pt layup from 2 ft
6:14.0,Defensive rebound by T. Harris, ,12-13, , 
6:14.0,Offensive foul by T. Harris (drawn by E. Fournier), ,12-13, , 
6:14.0,Turnover by T. Harris (offensive foul), ,12-13, , 
6:14.0,B. Marjanović enters the game for J. Embiid, ,12-13, , 
6:14.0,S. Milton enters the game for T. McConnell, ,12-13, , 
6:14.0,M. Scott enters the game for J. Redick, ,12-13, , 
6:06.0, , ,12-13, ,Personal foul by M. Scott (drawn by A. Gordon)
6:06.0, , ,12-13, ,W. Iwundu enters the game for A. Gordon
5:51.0, , ,12-13, ,E. Fournier misses 3-pt jump shot from 26 ft
5:49.0,Defensive rebound by B. Marjanović, ,12-13, , 
5:37.0,T. Harris makes 2-pt jump shot from 17 ft,+2,14-13, , 
5:24.0, , ,14-13, ,N. Vučević misses 2-pt layup from 3 ft
5:22.0,Defensive rebound by B. Marjanović, ,14-13, , 
5:20.0,Turnover by B. Marjanović (lost ball; steal by D. Augustin), ,14-13, , 
5:10.0, , ,14-15,+2,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin)
4:51.0,Shooting foul by W. Iwundu (drawn by T. Harris), ,14-15, , 
4:51.0,T. Harris makes free throw 1 of 2,+1,15-15, , 
4:51.0, , ,15-15, ,T. Ross enters the game for E. Fournier
4:51.0,T. Harris makes free throw 2 of 2,+1,16-15, , 
4:40.0, , ,16-18,+3,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin)
4:24.0,S. Milton makes 2-pt jump shot from 9 ft (assist by J. Butler),+2,18-18, , 
4:16.0, , ,18-18, ,Personal foul by S. Milton (drawn by D. Augustin)
4:08.0, , ,18-20,+2,D. Augustin makes 2-pt jump shot from 6 ft
3:52.0,J. Butler makes 2-pt jump shot from 11 ft,+2,20-20, , 
3:33.0, , ,20-23,+3,T. Ross makes 3-pt jump shot from 26 ft (assist by D. Augustin)
3:31.0,Philadelphia full timeout, ,20-23, , 
3:31.0,J. Embiid enters the game for J. Butler, ,20-23, , 
3:31.0,T. McConnell enters the game for T. Harris, ,20-23, , 
3:31.0,J. Redick enters the game for B. Marjanović, ,20-23, , 
3:31.0,J. Simmons enters the game for S. Milton, ,20-23, , 
3:31.0, , ,20-23, ,M. Carter-Williams enters the game for D. Augustin
3:15.0,J. Redick misses 3-pt jump shot from 26 ft, ,20-23, , 
3:11.0,Offensive rebound by T. McConnell, ,20-23, , 
3:08.0,M. Scott makes 2-pt dunk at rim (assist by T. McConnell),+2,22-23, , 
2:48.0, , ,22-23, ,W. Iwundu misses 3-pt jump shot from 25 ft
2:45.0,Defensive rebound by J. Embiid, ,22-23, , 
2:34.0,M. Scott makes 2-pt jump shot from 9 ft,+2,24-23, , 
2:23.0, , ,24-23, ,Shooting foul by J. Simmons (drawn by T. Ross)
2:23.0, , ,24-24,+1,T. Ross makes free throw 1 of 3
2:23.0, , ,24-25,+1,T. Ross makes free throw 2 of 3
2:23.0, , ,24-25, ,K. Birch enters the game for J. Isaac
2:23.0, , ,24-25, ,A. Gordon enters the game for N. Vučević
2:23.0, , ,24-25, ,T. Ross misses free throw 3 of 3
2:23.0,Defensive rebound by J. Embiid, ,24-25, , 
2:07.0,Shooting foul by K. Birch (drawn by J. Embiid), ,24-25, , 
2:07.0,J. Embiid misses free throw 1 of 2, ,24-25, , 
2:07.0,Offensive rebound by Team, ,24-25, , 
