time,away_description,away_change,score,home_change,home_description
11:45.0,Shooting foul by N. Bjelica (drawn by D. DeRozan), ,0-0, , 
11:45.0,D. DeRozan misses free throw 1 of 2, ,0-0, , 
11:45.0,Offensive rebound by Team, ,0-0, , 
11:45.0,D. DeRozan makes free throw 2 of 2,+1,1-0, , 
11:27.0, , ,1-0, ,B. Hield misses 3-pt jump shot from 25 ft
11:26.0,Defensive rebound by Team, ,1-0, , 
11:13.0,L. Aldridge makes 2-pt jump shot from 15 ft,+2,3-0, , 
11:05.0, , ,3-3,+3,N. Bjelica makes 3-pt jump shot from 30 ft (assist by D. Fox)
10:49.0,Offensive foul by L. Aldridge (drawn by W. Cauley-Stein), ,3-3, , 
10:49.0,Turnover by L. Aldridge (offensive foul), ,3-3, , 
10:38.0, , ,3-3, ,W. Cauley-Stein misses 2-pt hook shot from 9 ft
10:35.0,Defensive rebound by R. Gay, ,3-3, , 
10:29.0,Personal foul by D. Fox (drawn by R. Gay), ,3-3, , 
10:15.0,D. DeRozan makes 2-pt layup from 2 ft,+2,5-3, , 
10:05.0, , ,5-3, ,D. Fox misses 2-pt layup from 3 ft (block by D. DeRozan)
10:03.0,Defensive rebound by D. Bertāns, ,5-3, , 
9:59.0,R. Gay misses 3-pt jump shot from 25 ft, ,5-3, , 
9:57.0, , ,5-3, ,Defensive rebound by B. Hield
9:47.0, , ,5-3, ,B. Hield misses 3-pt jump shot from 23 ft
9:44.0,Defensive rebound by L. Aldridge, ,5-3, , 
9:34.0,D. DeRozan misses 2-pt jump shot from 9 ft, ,5-3, , 
9:32.0, , ,5-3, ,Defensive rebound by N. Bjelica
9:20.0, , ,5-6,+3,D. Fox makes 3-pt jump shot from 26 ft (assist by I. Shumpert)
8:57.0,L. Aldridge misses 3-pt jump shot from 25 ft, ,5-6, , 
8:54.0, , ,5-6, ,Defensive rebound by D. Fox
8:50.0, , ,5-6, ,Shooting foul by D. DeRozan (drawn by B. Hield)
8:50.0, , ,5-7,+1,B. Hield makes free throw 1 of 2
8:50.0, , ,5-8,+1,B. Hield makes free throw 2 of 2
8:34.0,R. Gay misses 2-pt jump shot from 6 ft, ,5-8, , 
8:29.0,Offensive rebound by L. Aldridge, ,5-8, , 
8:29.0,L. Aldridge makes 2-pt layup at rim,+2,7-8, , 
8:25.0, , ,7-8, ,Turnover by I. Shumpert (lost ball; steal by B. Forbes)
8:21.0,B. Forbes misses 3-pt jump shot from 25 ft, ,7-8, , 
8:16.0, , ,7-8, ,Defensive rebound by B. Hield
8:15.0, , ,7-8, ,Shooting foul by D. Bertāns (drawn by B. Hield)
8:15.0, , ,7-9,+1,B. Hield makes free throw 1 of 2
8:15.0, , ,7-10,+1,B. Hield makes free throw 2 of 2
7:58.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by R. Gay),+2,9-10, , 
7:48.0, , ,9-10, ,Shooting foul by B. Forbes (drawn by D. Fox)
7:48.0, , ,9-10, ,D. Fox misses free throw 1 of 2
7:48.0, , ,9-10, ,Offensive rebound by Team
7:48.0, , ,9-10, ,D. Fox misses free throw 2 of 2
7:45.0,Defensive rebound by L. Aldridge, ,9-10, , 
7:25.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by R. Gay),+3,12-10, , 
7:17.0, , ,12-12,+2,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield)
6:57.0,Shooting foul by N. Bjelica (drawn by L. Aldridge), ,12-12, , 
