time,away_description,away_change,score,home_change,home_description
11:42.0, , ,0-3,+3,P. George makes 3-pt jump shot from 23 ft (assist by S. Adams)
11:27.0,Turnover by M. Conley (bad pass; steal by T. Ferguson), ,0-3, , 
11:11.0, , ,0-3, ,Shooting foul by J. Holiday (drawn by R. Westbrook)
11:11.0, , ,0-4,+1,R. Westbrook makes free throw 1 of 2
11:11.0, , ,0-4, ,R. Westbrook misses free throw 2 of 2
11:10.0,Defensive rebound by J. Washburn, ,0-4, , 
10:56.0,J. Jackson misses 2-pt hook shot from 4 ft, ,0-4, , 
10:53.0, , ,0-4, ,Defensive rebound by R. Westbrook
10:49.0, , ,0-4, ,P. George misses 3-pt jump shot from 25 ft
10:45.0,Defensive rebound by J. Holiday, ,0-4, , 
10:36.0,J. Washburn misses 3-pt jump shot from 27 ft, ,0-4, , 
10:35.0, , ,0-4, ,Defensive rebound by P. George
10:25.0, , ,0-7,+3,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook)
10:06.0,M. Conley misses 3-pt jump shot from 25 ft, ,0-7, , 
10:04.0,Offensive rebound by J. Washburn, ,0-7, , 
10:04.0,Turnover by J. Washburn (step out of bounds), ,0-7, , 
9:54.0, , ,0-7, ,T. Ferguson misses 3-pt jump shot from 23 ft
9:50.0,Defensive rebound by J. Washburn, ,0-7, , 
9:39.0,Personal foul by R. Westbrook (drawn by J. Jackson), ,0-7, , 
9:35.0,J. Holiday makes 2-pt jump shot from 17 ft (assist by M. Conley),+2,2-7, , 
9:26.0, , ,2-7, ,Turnover by P. George (bad pass; steal by I. Rabb)
9:11.0,J. Washburn misses 2-pt jump shot from 8 ft, ,2-7, , 
9:08.0, , ,2-7, ,Defensive rebound by S. Adams
9:03.0, , ,2-7, ,Personal foul by J. Washburn (drawn by R. Westbrook)
8:57.0, , ,2-7, ,Shooting foul by I. Rabb (drawn by J. Grant)
8:57.0, , ,2-8,+1,J. Grant makes free throw 1 of 2
8:57.0, , ,2-8, ,J. Grant misses free throw 2 of 2
8:53.0,Defensive rebound by J. Holiday, ,2-8, , 
8:37.0,I. Rabb makes 2-pt hook shot from 5 ft,+2,4-8, , 
8:28.0, , ,4-8, ,T. Ferguson misses 3-pt jump shot from 23 ft
8:24.0,Defensive rebound by I. Rabb, ,4-8, , 
8:15.0,I. Rabb makes 2-pt layup from 1 ft (assist by J. Holiday),+2,6-8, , 
8:15.0,Shooting foul by S. Adams (drawn by I. Rabb), ,6-8, , 
