time,away_description,away_change,score,home_change,home_description
11:48.0, , ,0-2,+2,L. Aldridge makes 2-pt jump shot from 20 ft (assist by T. Parker)
11:35.0,B. Hield makes 3-pt jump shot from 25 ft (assist by A. Davis),+3,3-2, , 
11:18.0, , ,3-2, ,L. Aldridge misses 2-pt jump shot from 14 ft
11:17.0,Defensive rebound by B. Hield, ,3-2, , 
11:10.0,Turnover by B. Hield (bad pass; steal by D. Green), ,3-2, , 
10:55.0, , ,3-4,+2,T. Parker makes 2-pt jump shot from 8 ft (assist by P. Gasol)
10:43.0,A. Ajinça misses 2-pt jump shot from 14 ft, ,3-4, , 
10:42.0, , ,3-4, ,Defensive rebound by T. Parker
10:33.0, , ,3-4, ,T. Parker misses 2-pt layup from 2 ft (block by J. Holiday)
10:33.0,Defensive rebound by Team, ,3-4, , 
10:33.0, , ,3-4, ,J. Simmons enters the game for D. Green
10:20.0,J. Holiday makes 3-pt jump shot from 26 ft,+3,6-4, , 
10:05.0, , ,6-7,+3,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker)
9:53.0,A. Ajinça makes 2-pt jump shot from 19 ft (assist by J. Holiday),+2,8-7, , 
9:37.0, , ,8-9,+2,K. Leonard makes 2-pt jump shot from 18 ft (assist by L. Aldridge)
9:28.0, , ,8-9, ,D. Green enters the game for J. Simmons
9:19.0,B. Hield misses 2-pt jump shot from 14 ft, ,8-9, , 
9:18.0, , ,8-9, ,Defensive rebound by L. Aldridge
9:07.0, , ,8-9, ,P. Gasol misses 2-pt jump shot from 6 ft (block by A. Davis)
9:05.0,Defensive rebound by A. Davis, ,8-9, , 
9:00.0,E. Moore misses 2-pt layup from 1 ft, ,8-9, , 
8:59.0, , ,8-9, ,Defensive rebound by P. Gasol
8:51.0, , ,8-9, ,T. Parker misses 2-pt jump shot from 11 ft
8:50.0, , ,8-9, ,Offensive rebound by P. Gasol
8:45.0, , ,8-11,+2,P. Gasol makes 2-pt jump shot from 20 ft
8:34.0,Shooting foul by L. Aldridge (drawn by A. Davis), ,8-11, , 
8:34.0,A. Davis makes free throw 1 of 2,+1,9-11, , 
8:34.0,A. Davis misses free throw 2 of 2, ,9-11, , 
8:33.0, , ,9-11, ,Defensive rebound by P. Gasol
8:18.0, , ,9-11, ,T. Parker misses 2-pt jump shot from 16 ft
8:17.0, , ,9-11, ,Offensive rebound by T. Parker
8:05.0, , ,9-13,+2,L. Aldridge makes 2-pt hook shot from 4 ft
7:53.0,New Orleans full timeout, ,9-13, , 
7:41.0,A. Davis misses 2-pt jump shot from 14 ft, ,9-13, , 
7:40.0, , ,9-13, ,Defensive rebound by D. Green
7:30.0, , ,9-13, ,D. Green misses 3-pt jump shot from 25 ft
7:29.0,Defensive rebound by Team, ,9-13, , 
7:15.0,A. Ajinça makes 2-pt layup from 2 ft (assist by E. Moore),+2,11-13, , 
