time,away_description,away_change,score,home_change,home_description
11:43.0,Shooting foul by R. Hood (drawn by S. Adams), ,0-0, , 
11:43.0,S. Adams misses free throw 1 of 2, ,0-0, , 
11:43.0,Offensive rebound by Team, ,0-0, , 
11:43.0,S. Adams makes free throw 2 of 2,+1,1-0, , 
11:22.0, , ,1-0, ,R. Hood misses 2-pt jump shot from 14 ft
11:22.0, , ,1-0, ,Offensive rebound by Team
11:22.0,Loose ball foul by J. Grant (drawn by T. Thompson), ,1-0, , 
11:13.0, , ,1-0, ,T. Thompson misses 2-pt layup from 2 ft (block by J. Grant)
11:13.0,Defensive rebound by Team, ,1-0, , 
11:03.0,D. Schröder misses 3-pt jump shot from 26 ft, ,1-0, , 
10:59.0, , ,1-0, ,Defensive rebound by C. Osman
10:54.0, , ,1-0, ,J. Smith misses 2-pt jump shot from 15 ft
10:50.0,Defensive rebound by D. Schröder, ,1-0, , 
10:43.0,D. Schröder makes 2-pt layup from 2 ft,+2,3-0, , 
10:28.0, , ,3-0, ,J. Smith misses 3-pt jump shot from 26 ft
10:25.0,Defensive rebound by S. Adams, ,3-0, , 
10:17.0,Offensive foul by S. Adams (drawn by R. Hood), ,3-0, , 
10:17.0,Turnover by S. Adams (offensive foul), ,3-0, , 
9:55.0, , ,3-2,+2,T. Thompson makes 2-pt hook shot from 11 ft
9:43.0,J. Grant misses 2-pt layup from 1 ft, ,3-2, , 
9:38.0,Offensive rebound by S. Adams, ,3-2, , 
9:38.0,S. Adams makes 2-pt dunk at rim,+2,5-2, , 
9:29.0, , ,5-2, ,C. Osman misses 3-pt jump shot from 27 ft
9:26.0,Defensive rebound by S. Adams, ,5-2, , 
9:07.0,S. Adams misses 2-pt layup from 1 ft, ,5-2, , 
9:07.0, , ,5-2, ,Defensive rebound by T. Thompson
8:53.0, , ,5-4,+2,C. Sexton makes 2-pt layup at rim
8:44.0,T. Ferguson misses 2-pt jump shot from 23 ft, ,5-4, , 
8:44.0, , ,5-4, ,Defensive rebound by J. Smith
8:38.0, , ,5-4, ,Turnover by J. Smith (bad pass; steal by J. Grant)
8:34.0,D. Schröder makes 2-pt layup from 3 ft,+2,7-4, , 
8:08.0, , ,7-4, ,T. Thompson misses 2-pt jump shot from 8 ft
8:06.0,Defensive rebound by P. George, ,7-4, , 
