time,away_description,away_change,score,home_change,home_description
11:47.0,B. Lopez misses 2-pt layup from 2 ft, ,0-0, , 
11:44.0,Offensive rebound by B. Lopez, ,0-0, , 
11:43.0,B. Lopez makes 2-pt layup from 1 ft,+2,2-0, , 
11:21.0, , ,2-0, ,D. Wade misses 2-pt jump shot from 17 ft
11:20.0, , ,2-0, ,Offensive rebound by R. Lopez
11:20.0, , ,2-0, ,R. Lopez misses 2-pt layup from 1 ft
11:19.0,Defensive rebound by I. Whitehead, ,2-0, , 
11:12.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by S. Kilpatrick),+3,5-0, , 
10:51.0, , ,5-0, ,T. Gibson misses 2-pt jump shot from 12 ft
10:50.0,Defensive rebound by T. Booker, ,5-0, , 
10:38.0,T. Booker makes 2-pt jump shot from 10 ft (assist by B. Bogdanović),+2,7-0, , 
10:14.0, , ,7-0, ,J. Butler misses 2-pt jump shot from 20 ft
10:13.0,Defensive rebound by S. Kilpatrick, ,7-0, , 
10:03.0,T. Booker misses 2-pt jump shot from 21 ft, ,7-0, , 
10:02.0, , ,7-0, ,Defensive rebound by R. Rondo
9:53.0, , ,7-0, ,Turnover by J. Butler (bad pass; steal by I. Whitehead)
9:49.0,I. Whitehead makes 2-pt layup from 2 ft,+2,9-0, , 
9:48.0, , ,9-0, ,Chicago full timeout
9:29.0, , ,9-2,+2,R. Lopez makes 2-pt dunk at rim (assist by D. Wade)
9:16.0,B. Bogdanović misses 2-pt layup from 2 ft (block by T. Gibson), ,9-2, , 
9:14.0, , ,9-2, ,Defensive rebound by J. Butler
8:58.0, , ,9-2, ,Turnover by R. Rondo (bad pass)
8:39.0,T. Booker misses 2-pt jump shot from 12 ft, ,9-2, , 
8:38.0, , ,9-2, ,Defensive rebound by R. Lopez
8:25.0, , ,9-2, ,R. Lopez misses 2-pt hook shot from 9 ft
8:24.0,Defensive rebound by T. Booker, ,9-2, , 
8:21.0,Turnover by T. Booker (lost ball; steal by R. Rondo), ,9-2, , 
8:18.0, , ,9-4,+2,J. Butler makes 2-pt jump shot from 11 ft (assist by R. Rondo)
8:18.0, , ,9-4, ,Shooting foul by B. Bogdanović (drawn by J. Butler)
8:18.0, , ,9-5,+1,J. Butler makes free throw 1 of 1
8:08.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by S. Kilpatrick),+3,12-5, , 
7:49.0, , ,12-5, ,R. Lopez misses 2-pt jump shot from 16 ft
7:48.0,Defensive rebound by S. Kilpatrick, ,12-5, , 
7:41.0,B. Bogdanović misses 2-pt layup from 1 ft, ,12-5, , 
7:40.0, , ,12-5, ,Defensive rebound by R. Lopez
7:31.0, , ,12-7,+2,R. Lopez makes 2-pt jump shot from 17 ft (assist by R. Rondo)
7:25.0,Personal foul by T. Gibson (drawn by I. Whitehead), ,12-7, , 
7:11.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by I. Whitehead),+3,15-7, , 
6:54.0, , ,15-7, ,J. Butler misses 2-pt layup from 3 ft (block by I. Whitehead)
6:52.0, , ,15-7, ,Offensive rebound by R. Rondo
6:44.0, , ,15-9,+2,R. Rondo makes 2-pt layup from 2 ft
6:30.0,S. Kilpatrick misses 2-pt jump shot from 14 ft, ,15-9, , 
6:29.0, , ,15-9, ,Defensive rebound by T. Gibson
6:21.0, , ,15-11,+2,D. Wade makes 2-pt jump shot from 14 ft
6:08.0,B. Lopez misses 2-pt jump shot from 11 ft, ,15-11, , 
6:06.0,Offensive rebound by T. Booker, ,15-11, , 
6:02.0,S. Kilpatrick makes 3-pt jump shot from 23 ft (assist by T. Booker),+3,18-11, , 
5:45.0, , ,18-11, ,R. Rondo misses 2-pt layup from 2 ft
5:44.0,Defensive rebound by T. Booker, ,18-11, , 
5:31.0,Turnover by T. Booker (kicked ball), ,18-11, , 
5:31.0, , ,18-11, ,D. McDermott enters the game for D. Wade
5:31.0, , ,18-11, ,N. Mirotić enters the game for T. Gibson
5:31.0,J. Hamilton enters the game for T. Booker, ,18-11, , 
5:19.0, , ,18-13,+2,J. Butler makes 2-pt jump shot from 14 ft
5:05.0,B. Lopez misses 3-pt jump shot from 25 ft, ,18-13, , 
5:04.0,Offensive rebound by J. Hamilton, ,18-13, , 
4:57.0,B. Bogdanović misses 2-pt jump shot from 18 ft, ,18-13, , 
4:56.0, , ,18-13, ,Defensive rebound by R. Lopez
4:51.0, , ,18-13, ,R. Rondo misses 2-pt layup from 1 ft
4:50.0,Defensive rebound by S. Kilpatrick, ,18-13, , 
